Lời hứa mười năm,十年後の約束
"Lần đầu nghe thấy cách mà tôi có thể bán đi tuổi thọ của mình, thứ ngay lập tức xuất hiện trong đầu tôi là bài học đạo đức từ trường tiểu học.",寿命を買い取ってもらえるという話を聞いたとき、俺が真っ先に思い出したのは、小学生の頃に受けた道徳の授業のことだった。
"Chúng tôi là những đứa nhóc mười tuổi vẫn chưa biết cách suy nghĩ độc lập, nên cô giáo của lớp chúng tôi, một phụ nữ gần ba mươi, mới hỏi chúng tôi một điều như thế này:",まだ自分でものを考えるということを知らない十歳の俺たちに向けて、学級担任である二十代後半の女性教員は、こんなふうに問いかけた。
"“Các em đều được bảo rằng cuộc đời một con người là thứ gì đó không thể thay thế được, và nó có giá trị hơn mọi thứ. Bây giờ, nếu cho nó một mệnh giá, các em nghĩ nó có giá bao nhiêu?”",「では皆さんは、そういうふうにかけがえのないものだといわれたり、何よりも価値のあるものだといわれたりしている『人間の命』は、実際の金額にすると、いくらくらいのものだと思っていますか？」
"Sau đó, cô tỏ vẻ trầm tư. Cá nhân tôi, thì nghĩ rằng cách cô giáo đặt câu hỏi là không thỏa đáng. Cô giáo im lặng đúng hai mươi giây, vẫn giữ viên phấn và nhìn xuống bảng đen, lưng quay về phía các học sinh.",それから彼女は、ちょっと考え込む素振りを見せた。その問い方では不十分だと、自分で思ったのだろう。チョークを持ったまま黒板と対峙じし、生徒に背を向けたまま二十秒ほど沈黙していた。
"Trong lúc cô làm thế, bọn trẻ nghiêm túc nghiền ngẫm câu hỏi. Đa phần chúng nó thích người giáo viên trẻ đẹp này, vậy nên chúng muốn nói gì đó vui lòng cô để nhận được lời khen.",その間も、生徒は真剣に答えを考えていた。大半の生徒はその若くて綺麗な学級担任が好きだったから、何とかして彼女に気に入られることをいって、褒められたかったのだ。
Một cô nàng ra vẻ thông thái giơ tay.,一人のお利口さんが、手を挙げていった。
“Có lần em đọc một cuốn sách nói rằng chi phí toàn bộ cuộc đời cho một người làm công ăn lương rơi vào khoảng 200 đến 300 triệu yên. Nên em nghĩ người bình thường sẽ ở đâu đó tầm đấy ạ.”,「サラリーマンの平均的な生涯賃金は二億円から三億円ほどだと、この前読んだ本に書いてありました。だから、普通の人は、大体それくらいだと思います」
Một nửa học sinh trong lớp hết ồ rồi lại à. Nửa còn lại thì trông buồn tẻ và chán ngán.,教室にいた生徒の半分は感心したような顔をした。もう半分は面白くなさそうな顔をした。
Phần đông học sinh ghét cô nàng tự phụ đó.,ほとんどの生徒は、そのお利口さんのことを嫌っていた。
Cô giáo cố nở một nụ cười và gật đầu.,学級担任は苦笑いを浮かべ、「確かに、それはそうなんです」といってうなずいた。
"“Điều đó hoàn toàn đúng. Có lẽ người lớn sẽ cho em câu trả lời tương tự. Số tiền tiêu suốt một đời thì bằng với giá trị của cuộc đời đó, đấy có thể là một câu trả lời. Nhưng cô muốn các em tránh xa khỏi lối suy nghĩ ấy. ...Cô biết rồi, hãy nghe một câu chuyện ngụ ngôn nhé. Một câu chuyện ngụ ngôn khó hiểu như mọi khi.”",大人の人に訊いても、多分、同じ答えが返ってくるでしょうね。一生を通して稼ぐ金額、それがその人の価値とイコールになるという考え方は、一つの正解だといえるでしょう。ただ、ここでは、一度そういう考え方を捨ててほしいんです。……そうですね、たとえ話をしましょう。いつもの、わかりにくいたとえ話」
"Không một ai hiểu thứ... hình ảnh cô giáo vẽ lên bảng bằng phấn xanh đề cập đến điều gì. Bạn có thể trông nó như một con người, hoặc như một vết kẹo cao su trên đường.",教員が青のチョークで黒板に描いたものの正体は、誰にもわからなかった。人間にも見えたし、道路にへばりついたガムにも見えた。
Nhưng đây mới chính xác là ý định của cô.,でも、それが彼女の狙いだった。
"““Thứ mang bản chất không xác định” này có nhiều tiền hơn số tiền nó cần. Nhưng Thứ đó khát khao được sống một cuộc sống như con người. Nên nó cố gắng mua cuộc đời của người khác. Một ngày nọ, các em chợt đi ngang qua Thứ đó. Và khi ấy, nó hỏi các em: ““Này, ngươi có muốn bán cho ta cuộc đời mà ngươi sẽ trải qua không?”... Thứ đó nói.”",「この『得体の知れないなにか』は、お金だけは、いくらでも持っています。『なにか』は、〝人間らしい生活〟に憧れています。そういうわけで、誰かの人生を買い取ろうとしているんです。ある日あなたは、偶然、『なにか』の前を通りすがります。すると『なにか』があなたに、こう問うんです。『なあ、きみがこれから送る人生を、そっくりそのままぼくに売ってくれないかい？』と」
Cô dừng câu chuyện lại một lúc.,彼女はいったんそこで話を止める。
"“Nếu em bán nó, điều gì sẽ xảy ra ạ?”, một tên nhóc kiểu nghiêm túc thái quá giơ tay hỏi.",「それを売ってしまうと、どうなるんですか？」と生真面目めそうな男の子が手を挙げて訊ねた。
